"","origin","destination","Date","policy.dummy","distance","traveltime.person"
"1",26,5,"2019-03-13",0,2.76560800673336,0.000399520575309628
"2",26,13,"2019-03-13",0,2.15357805709472,0.000363730190438141
"3",26,18,"2019-03-13",0,1.50563317185252,0.000341257158076974
"4",26,19,"2019-03-13",0,1.02122319032679,0.000290900918897323
"5",26,11,"2019-03-13",0,2.08582294054571,0.000419912771341057
"6",26,120,"2019-03-13",0,1.66550862789891,0.000299224264216274
"7",26,4,"2019-03-13",0,2.46879759832542,0.000504394726328406
"8",26,119,"2019-03-13",0,1.19489152237086,0.000206002796644027
"9",26,12.02,"2019-03-13",0,1.5992949712473,0.000356655346917033
"10",26,12.01,"2019-03-13",0,1.76814044950993,0.000349996670661872
"11",26,10.01,"2019-03-13",0,1.80816913967087,0.000342505659874817
"12",26,118,"2019-03-13",0,0.912166895609926,0.000127347183379944
"13",26,21,"2019-03-13",0,0.649111285972633,0.000182697429750966
"14",26,28,"2019-03-13",0,1.3368371541375,0.000347915834332135
"15",26,35,"2019-03-13",0,0.839642274898976,0.000131925023305367
"16",26,5,"2019-05-08",0,2.76560800673336,0.000317370759574018
"17",26,13,"2019-05-08",0,2.15357805709472,0.000275446474050043
"18",26,18,"2019-05-08",0,1.50563317185252,0.000295429077430629
"19",26,19,"2019-05-08",0,1.02122319032679,0.000227253136485099
"20",26,11,"2019-05-08",0,2.08582294054571,0.00034949965128398
"21",26,120,"2019-05-08",0,1.66550862789891,0.000265259264483469
"22",26,4,"2019-05-08",0,2.46879759832542,0.000355768703324948
"23",26,119,"2019-05-08",0,1.19489152237086,0.000171615299621506
"24",26,12.02,"2019-05-08",0,1.5992949712473,0.000298563603451113
"25",26,12.01,"2019-05-08",0,1.76814044950993,0.00027348739528724
"26",26,10.01,"2019-05-08",0,1.80816913967087,0.000276621921307724
"27",26,118,"2019-05-08",0,0.912166895609926,9.16848860991607e-05
"28",26,21,"2019-05-08",0,0.649111285972633,0.000141053670921786
"29",26,28,"2019-05-08",0,1.3368371541375,0.0002887682096371
"30",26,35,"2019-05-08",0,0.839642274898976,0.000122638330551441
"31",26,5,"2019-05-29",0,2.76560800673336,0.000314185576345144
"32",26,13,"2019-05-29",0,2.15357805709472,0.000365704205012919
"33",26,18,"2019-05-29",0,1.50563317185252,0.000290768017859791
"34",26,19,"2019-05-29",0,1.02122319032679,0.000213880367499551
"35",26,11,"2019-05-29",0,2.08582294054571,0.000374680935765637
"36",26,120,"2019-05-29",0,1.66550862789891,0.000243932900889087
"37",26,4,"2019-05-29",0,2.46879759832542,0.000412539321983623
"38",26,119,"2019-05-29",0,1.19489152237086,0.000177583151847255
"39",26,12.02,"2019-05-29",0,1.5992949712473,0.000291548603142636
"40",26,12.01,"2019-05-29",0,1.76814044950993,0.000311063235213763
"41",26,10.01,"2019-05-29",0,1.80816913967087,0.000263837825601636
"42",26,118,"2019-05-29",0,0.912166895609926,0.00010303725733555
"43",26,21,"2019-05-29",0,0.649111285972633,0.000145969447892029
"44",26,28,"2019-05-29",0,1.3368371541375,0.000291938895784059
"45",26,35,"2019-05-29",0,0.839642274898976,0.000145579155250607
"46",26,5,"2019-07-17",0,2.76560800673336,0.000310563871200194
"47",26,13,"2019-07-17",0,2.15357805709472,0.000404947090568727
"48",26,18,"2019-07-17",0,1.50563317185252,0.000294898606574712
"49",26,19,"2019-07-17",0,1.02122319032679,0.000218530441525483
"50",26,11,"2019-07-17",0,2.08582294054571,0.00034581071660753
"51",26,120,"2019-07-17",0,1.66550862789891,0.000216963915062935
"52",26,4,"2019-07-17",0,2.46879759832542,0.000373616561317762
"53",26,119,"2019-07-17",0,1.19489152237086,0.000170359752802124
"54",26,12.02,"2019-07-17",0,1.5992949712473,0.000282366394874325
"55",26,12.01,"2019-07-17",0,1.76814044950993,0.000334845031369692
"56",26,10.01,"2019-07-17",0,1.80816913967087,0.000262001550861198
"57",26,118,"2019-07-17",0,0.912166895609926,0.000103390746528186
"58",26,21,"2019-07-17",0,0.649111285972633,0.000149211645557723
"59",26,28,"2019-07-17",0,1.3368371541375,0.000269050919942665
"60",26,35,"2019-07-17",0,0.839642274898976,0.000118664379538031
"61",26,5,"2019-08-14",1,2.76560800673336,0.000432366427432217
"62",26,13,"2019-08-14",1,2.15357805709472,0.000440673179160021
"63",26,18,"2019-08-14",1,1.50563317185252,0.000387509968102073
"64",26,19,"2019-08-14",1,1.02122319032679,0.000320640616693248
"65",26,11,"2019-08-14",1,2.08582294054571,0.000467254784688995
"66",26,120,"2019-08-14",1,1.66550862789891,0.00032313264221159
"67",26,4,"2019-08-14",1,2.46879759832542,0.000480960925039872
"68",26,119,"2019-08-14",1,1.19489152237086,0.000225943646996279
"69",26,12.02,"2019-08-14",1,1.5992949712473,0.000399139420520999
"70",26,12.01,"2019-08-14",1,1.76814044950993,0.000414506911217438
"71",26,10.01,"2019-08-14",1,1.80816913967087,0.000378787878787879
"72",26,118,"2019-08-14",1,0.912166895609926,0.00011504851143009
"73",26,21,"2019-08-14",1,0.649111285972633,0.00020891480595428
"74",26,28,"2019-08-14",1,1.3368371541375,0.000359267012227539
"75",26,35,"2019-08-14",1,0.839642274898976,0.000162812333864965
"76",26,5,"2019-08-27",1,2.76560800673336,0.000345384450231968
"77",26,13,"2019-08-27",1,2.15357805709472,0.00043313077002063
"78",26,18,"2019-08-27",1,1.50563317185252,0.000310379269465214
"79",26,19,"2019-08-27",1,1.02122319032679,0.000245036265367274
"80",26,11,"2019-08-27",1,2.08582294054571,0.000423796055149495
"81",26,120,"2019-08-27",1,1.66550862789891,0.000258104866186862
"82",26,4,"2019-08-27",1,2.46879759832542,0.000483071494581198
"83",26,119,"2019-08-27",1,1.19489152237086,0.000213764970548975
"84",26,12.02,"2019-08-27",1,1.5992949712473,0.000363120408487123
"85",26,12.01,"2019-08-27",1,1.76814044950993,0.000361720201256453
"86",26,10.01,"2019-08-27",1,1.80816913967087,0.00029824414013274
"87",26,118,"2019-08-27",1,0.912166895609926,0.000106882485274487
"88",26,21,"2019-08-27",1,0.649111285972633,0.000180159997012891
"89",26,28,"2019-08-27",1,1.3368371541375,0.000315046626900781
"90",26,35,"2019-08-27",1,0.839642274898976,0.000155889738347942
"91",26,5,"2019-10-24",1,2.76560800673336,0.000369817139277712
"92",26,13,"2019-10-24",1,2.15357805709472,0.000497506444696075
"93",26,18,"2019-10-24",1,1.50563317185252,0.00032524634399017
"94",26,19,"2019-10-24",1,1.02122319032679,0.000257787843014431
"95",26,11,"2019-10-24",1,2.08582294054571,0.000428843327631484
"96",26,120,"2019-10-24",1,1.66550862789891,0.000278266316524924
"97",26,4,"2019-10-24",1,2.46879759832542,0.000451731033319681
"98",26,119,"2019-10-24",1,1.19489152237086,0.000202375502927217
"99",26,12.02,"2019-10-24",1,1.5992949712473,0.000311594028316509
"100",26,12.01,"2019-10-24",1,1.76814044950993,0.000398326386713888
"101",26,10.01,"2019-10-24",1,1.80816913967087,0.00032042787963476
"102",26,118,"2019-10-24",1,0.912166895609926,0.000104801599730166
"103",26,21,"2019-10-24",1,0.649111285972633,0.000177881642453883
"104",26,28,"2019-10-24",1,1.3368371541375,0.000321632495723613
"105",26,35,"2019-10-24",1,0.839642274898976,0.00013411392455891
"106",26,5,"2019-10-30",1,2.76560800673336,0.000312488177656717
"107",26,13,"2019-10-30",1,2.15357805709472,0.000396474104339273
"108",26,18,"2019-10-30",1,1.50563317185252,0.000296977263269398
"109",26,19,"2019-10-30",1,1.02122319032679,0.000224340786138539
"110",26,11,"2019-10-30",1,2.08582294054571,0.000366965535504861
"111",26,120,"2019-10-30",1,1.66550862789891,0.000255740929898233
"112",26,4,"2019-10-30",1,2.46879759832542,0.000399878939204782
"113",26,119,"2019-10-30",1,1.19489152237086,0.000167971853365112
"114",26,12.02,"2019-10-30",1,1.5992949712473,0.00033632202171528
"115",26,12.01,"2019-10-30",1,1.76814044950993,0.000341618431506072
"116",26,10.01,"2019-10-30",1,1.80816913967087,0.0002682253244051
"117",26,118,"2019-10-30",1,0.912166895609926,9.79835811296485e-05
"118",26,21,"2019-10-30",1,0.649111285972633,0.000149812734082397
"119",26,28,"2019-10-30",1,1.3368371541375,0.000299625468164794
"120",26,35,"2019-10-30",1,0.839642274898976,0.000118790905307759
